# Subject ID, Trial#, Ques ID, Stim ID, Response, R_History, Photo Onset, Ques Onset
9999,1,1,7055,-1,3,24,39
9999,2,1,3100,-2,4,45,58
9999,3,1,6230,-1,3,62,76
9999,4,1,3225,2,4,79,93
9999,5,1,7004,,2,97,112
9999,6,1,7491,,2,117,132
9999,7,1,3016,-3,5,138,152
9999,8,1,3191,-1,3,159,172
9999,9,1,2141,2,4,178,193
9999,10,1,3120,1,3,198,212
9999,11,2,7055,4,6,239,254
9999,12,2,3100,1,3,257,272
9999,13,2,6230,-1,3,276,291
9999,14,2,3225,-1,3,295,309
9999,15,2,7004,1,3,314,329
9999,16,2,7491,-1,3,332,348
9999,17,2,3016,-1,3,352,366
9999,18,2,3191,1,3,371,385
9999,19,2,2141,-1,3,390,407
9999,20,2,3120,1,3,411,428
9999,21,3,7055,1,3,455,470
9999,22,3,3100,-2,4,476,490
9999,23,3,6230,-1,3,495,512
9999,24,3,3225,-2,4,518,531
9999,25,3,7004,-1,3,535,548
9999,26,3,7491,-1,3,552,565
9999,27,3,3016,1,3,570,586
9999,28,3,3191,1,3,589,605
9999,29,3,2141,1,3,610,623
9999,30,3,3120,-1,3,628,642
